"NOM du produit";"Gencod EAN Article";"Gencod EAN Colis";"Gencod EAN Palette";"Code Article Arcadia";PCB;"Listes des ingrédients";"Listes des allergènes";"Origines matières premières";DLC;"Code Douane";"Conseils de réchauffage";"Energie (kcal)";"Energie (kJ)";"Matières grasses (g)";"Acides gras saturés (g)";"Glucides (g)";"Sucres (g)";"Protéines (g)";"Sel (g)"
"CAILLE FARCIE AUX RAISINS ET COGNAC, SAUCE FOIE GRAS";3366760036589;13366760036586;23366760036583;;6;"Ingrédients : Caille farcie raisin/cognac 64% (caille PAC 75%, farce 25% (viande de dinde, eau, gras de veau, raisins secs 18%, farine de blé, Cognac 2,5%, sel, poivre, muscade, huile végétale, conservateurs : acétate et diacétate de sodium, antioxydants : acide ascorbique - acide citrique), eau, oignon préfrit 9.6%, raisin blond réhydraté 6.4% (raisin blond sec, eau), crème fraîche, base fond de viande (maltodextrines, arômes naturels, eau, dextrose, tomate et champignon, colorants : caramel, curcumine, extrait de paprika, sel, épices et plantes aromatiques, acidifiants : acide citrique, acide malique), foie gras de canard 1.2%, farine de blé, sel, arôme, épaississant : gomme xanthane, colorant : caramel.";;"Caille : UE.
Foie gras : UE.";11;;"Bain-marie (mode de réchauffage recommandé) : Plonger le sachet dans une eau frémissante et réchauffer 7 min. 
Micro-ondes : Mettre le sachet en assiette, le percer et réchauffer 2min 30 à 850W.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"RIZ LG SAWI NETTO 6X250G";8717306670609;08717306670708;;0;6;;;;365;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"RIZ BASMATI SAWI NETTO 6X250G";8717306670586;08717306670692;;0;6;;;;365;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"RIZ LG SAWI KOOPCONSULT 6X250G";8717306670609;08717306670708;;0;6;;;;365;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"RIZ LG C1000 SCHUITEMA 6X250G";8717306670609;08717306670708;;0;6;;;;365;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"RIZ BASMATI SAWI KOOP 6X250G";8717306670586;08717306670692;;0;6;;;;365;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"DUO COUPELLE BASMATI 18X300G";;08710400412601;;0;18;;;;270;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"DUO COUPELLE LONG GR VSR 18X300G";;08710400412618;;0;18;;;;270;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"ROUILLE A LA SETOISE TRFE 2X1KG";3366760037227;13366760037224;23366760037221;1069;2;"Ingrédients : Pomme de terre 34%, ENCORNET 27% (ENCORNET, eau, sel, antioxydants : ascorbate de sodium, ascorbate de calcium, citrate trisodique, stabilisant : polyphosphates), MOULE du Pacifique 12%, eau, CRÈME fraîche, vin blanc 2%, arôme (contient POISSON, LAIT), double concentré de tomate 1%, pulpe d’ail 0,8%, farine de BLÉ, jus de citron, persil, sel, arôme naturel, épaississant : gomme xanthane, curcuma, poivre, piment fort.";"Mollusque, lait, blé, poisson.";"Encornet : UE des 15, Océan Atlantique, Amérique du Sud, Asie.
Pomme de terre : Europe.
Moule : Europe, Amérique du Sud.";14;2005208000;"Au four à  micro-ondes : 
Servir une portion dans une assiette et réchauffer 2min à 850W.";90;377;3.3;2.4;8.0;0.7;6.5;0.70
"JAMBON SAUCE MADERE TRFE 2X1KG";3366760037203;13366760037200;23366760037207;1070;2;"Ingrédients : Jambon cuit fumé 45% (jambon de porc, gras de porc, couenne de porc, sel, dextrose, sucre, arômes, conservateurs : érythorbate de sodium, nitrite de sodium), eau, CRÈME fraîche, champignon de Paris 7% (champignon de Paris, eau, sel, acidifiant : acide citrique, antioxydant : acide ascorbique), Madère modifié 4% (contient SULFITES), échalote, farine de BLÉ, arôme naturel (contient LACTOSE), oignon et ail en poudre, double concentré de tomate, épaississant : gomme xanthane.";"Lait, blé, sulfites.";"Porc : UE
Madère : Madère";20;1602493000;"Au four à  micro-ondes :
Servir une portion dans une assiette. Réchauffer sous cloche environ 1 min30 à 850 W.
";120;499;6.9;5.8;4.4;1.6;9.8;1.20
"LAPIN A LA PROVENCALE TRFE 2X1KG";3366760037210;13366760037217;23366760037214;1071;2;"Ingrédients : Morceaux de râble de lapin 40%, tomate concassée à la purée de tomate 36% (tomate pelée concassée, purée de tomate), courgette 6%, double concentré de tomate 4%, poivron jaune 2%, poivron rouge 2%, pulpe d’ail 1%, huile d’olive 1%, sel, amidon, sucre, basilic, poivron vert 0,6%, olive noire, olive verte (olive verte, sel), thym, laurier, poivre.";;"Râble de lapin : UE";20;1602903100;"Micro-ondes : 
Servir une portion dans une assiette et réchauffer 1min30 à 2 min à 850W. ";94;392;3.9;1.0;4.8;2.9;9.4;1.00
"POULET TIKKA MASSALA DRIVE 1X1KG";3366760037234;13366760037231;23366760037238;4052;1;;"Lait, fruit à coque, céleri.";"Poulet : Asie, Amérique du Sud, UE.";14;1602321900;"Au four à micro-ondes :
Servir une portion dans une assiette. Réchauffer sous cloche environ 1min30 à 850 W.
";169;704;9.7;7.6;7.4;5.5;13.0;0.89
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;;"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, curcuma, émulsifiant : lécithine de colza), FROMAGE de chèvre 22%, oignon, eau, fécule de manioc, fibre de BLE, miel, blanc d'ŒUF en poudre, sucre, sel, poivre.";"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";234;974;15.4;3.5;15.0;1.7;7.8;1.06
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, paprika, émulsifiant : lécithine de colza), tomate pelée concassée 16.9% (pulpe de tomates, jus de tomates, sel, correcteur d'acidité : acide citrique), MOZZARELLA râpée 15.9% (antiagglomérant : amidon de pomme de terre), courgette, oignon, protéine de SOJA, fécule de manioc, basilic 0.8%, ŒUF entier en poudre, purée d'ail, sel, poivre.";"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, curcuma, émulsifiant : lécithine de colza), LAIT 1/2 écrémé, EMMENTAL 13.7%, jambon (jambon de porc, eau, couenne, sirop de glucose, sel, dextrose, aromes, conservateurs : E316 et E250), CREME (CREME, stabilisant : carraghénanes), protéine et amidon de BLE (contient SULFITES), fécule de manioc, OEUF entier en poudre, farine de BLE, sel, poivre.";"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, graines de pavot 0.9%, sel, émulsifiant : lécithine de colza), brousse de brebis 22% (LACTOSERUM de brebis, CREME de brebis, sel), oignon, SAUMON 7.1%, SAUMON fumé 5.5% (SAUMON fumé, sel), eau, fécule de manioc, fibre de BLE, ciboulette, blanc d'OEUF en poudre, aneth, poivre.";"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, graines de pavot 0.9%, sel, émulsifiant : lécithine de colza), RICOTTE de brebis 24.3%, CREME (CREME, stabilisant : carraghénanes, échalote, fécule de manioc, fibre de BLE, eau, purée d'ail, jus de citron, ciboulette 1.6%, persil 0.8%, blanc d'OEUF en poudre, sel, poivre.";"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 24 MINI CROUSTI FEFST 4X360G";3366760036855;13366760036852;23366760036859;5371;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, paprika, émulsifiant : lécithine de colza), CREVETTE 22.5% (CREVETTE, sel, SULFITES), chataîgne d'eau, oignon, courgette, fécule de manioc, citron vert 1.9%, fibre de BLE, zeste d'orange 1.2%, sel, sucre, arôme.";"Gluten - Oeuf - Lait - Soja - Poisson - Crustacé - Sulfites";"Oeuf -> UE
Fromage de chèvre -> UE (transformation)
Mozzarella -> UE (transformation)
Lait -> UE (transformation)
Emmental -> UE (transformation)
Crème -> UE
Brousse de brebis -> UE (transformation)
Saumon -> UE - Amérique du Sud - Canada
Saumon fumé -> Europe - Amérique du Sud 
Ricotta de brebis -> UE
Crevette -> Atlantique Centre-Ouest FAO 31, Océan Indien Ouest FAO 51, Pacifique Centre-Ouest FAO 71, Pacifique Centre-Ouest FAO 71, Pacifique Centre Est FAO 77, Pacifique Sud-Est FAO 87, Atlantique Sud-Ouest FAO 41

Jambon -> UE";17;04100000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI PREST FEFST 4X240G";3366760036848;13366760036845;23366760036842;5372;4;;"Gluten - Oeuf - Soja - Lait - Poisson - Mollusque - Crustacé";"Oeuf -> UE
Viande de canard -> UE 
Viande de poulet -> UE
Foie gras de canard -> UE
Fromage de brebis -> UE
Saumon fumé -> Europe - Amérique du Sud
Crème -> UE
Lotte -> Etats Unis - Atlantique NO FAO 21
Chorizo -> UE";17;1602909900;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI PREST FEFST 4X240G";3366760036848;13366760036845;23366760036842;5372;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, émulsifiant : lécithine de colza), RICOTTE de brebis 19.2%, SAUMON fumé 12.1% (SAUMON fumé, sel), oignon, CREME (CREME, stabilisant : carraghénanes), fécule de manioc, fibre de BLE, basilic, OEUF entier en poudre, poivre.";"Gluten - Oeuf - Soja - Lait - Poisson - Mollusque - Crustacé";"Oeuf -> UE
Viande de canard -> UE 
Viande de poulet -> UE
Foie gras de canard -> UE
Fromage de brebis -> UE
Saumon fumé -> Europe - Amérique du Sud
Crème -> UE
Lotte -> Etats Unis - Atlantique NO FAO 21
Chorizo -> UE";17;1602909900;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";249;1034;16.9;3.6;13.4;2.6;9.9;1.13
"PLAT 16 CROUSTI PREST FEFST 4X240G";3366760036848;13366760036845;23366760036842;5372;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, paprika, émulsifiant : lécithine de colza), LOTTE 21.4%, oignon, chorizo 10.7% (maigre de porc, grs de porc, sel, dextrose, piments, epices et extraits d'epices, ferments, conservateur: ascrobate de sodium et nitrite de sodium), protéine de SOJA, CREME (CREME, stabilisant : carraghénanes), fécule de manioc, persil, purée d'ail, fumet de POISSON (sel, dextrose, arômes naturels, maltodextrine de BLE, maltodextrine de pomme de terre, POISSON, CREVETTE, amidon de tapioca, oignon, herbes et épices) (contient MOLLUSQUE), sel, poivre.";"Gluten - Oeuf - Soja - Lait - Poisson - Mollusque - Crustacé";"Oeuf -> UE
Viande de canard -> UE 
Viande de poulet -> UE
Foie gras de canard -> UE
Fromage de brebis -> UE
Saumon fumé -> Europe - Amérique du Sud
Crème -> UE
Lotte -> Etats Unis - Atlantique NO FAO 21
Chorizo -> UE";17;1602909900;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI PREST FEFST 4X240G";3366760036848;13366760036845;23366760036842;5372;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, sel, curcuma, émulsifiant : lécithine de colza), viande de canard effilochee cuite 13.7% (viande de canard, sel), viande de poulet 13.6%, cèpes 12.1%, oignon, protéine de SOJA, fécule de manioc, cerfeuil 1.1%, sel, poivre.";"Gluten - Oeuf - Soja - Lait - Poisson - Mollusque - Crustacé";"Oeuf -> UE
Viande de canard -> UE 
Viande de poulet -> UE
Foie gras de canard -> UE
Fromage de brebis -> UE
Saumon fumé -> Europe - Amérique du Sud
Crème -> UE
Lotte -> Etats Unis - Atlantique NO FAO 21
Chorizo -> UE";17;1602909900;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI PREST FEFST 4X240G";3366760036848;13366760036845;23366760036842;5372;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'ŒUF en poudre, caramel (sucre, sirop de glucose-fructose, eau), sel, émulsifiant : lécithine de colza), viande de poulet 17.6%, oignon, parures de foie gras de canard 10.8%, abricot sec 6.6% (abricots, farine de riz, SULFITES), protéine de SOJA, Cognac modifié 1.6% (Cognac, preparation aromatisante, sel, colorant : caramel ordinaire), persil, arôme (contient LAIT), povire.";"Gluten - Oeuf - Soja - Lait - Poisson - Mollusque - Crustacé";"Oeuf -> UE
Viande de canard -> UE 
Viande de poulet -> UE
Foie gras de canard -> UE
Fromage de brebis -> UE
Saumon fumé -> Europe - Amérique du Sud
Crème -> UE
Lotte -> Etats Unis - Atlantique NO FAO 21
Chorizo -> UE";17;1602909900;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI FROM FEFST 4X240G";3366760036831;13366760036838;23366760036835;5375;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'OEUF en poudre, sel, émulsifiant : lécithine de colza), FROMAGE de chèvre 21.7%, courgette, échalote, basilic 1.6%, fibre de BLE, fécule de manioc, blanc d'OEUF en poudre, purée d'ail, sel, arôme (contient LAIT), poivre.";"Gluten - Oeuf - Lait - Sulfites - Fruit à coque
Traces possibles de crustacés, sésame, soja, moutarde, poisson, mollusque";"Oeuf -> UE
Emmental -> UE (transformation)
Lait -> UE (transformation)
Crème -> UE (transformation)
Fromage de chèvre -> UE (transformation)
Gorgonzola -> UE (transformation)
Camembert -> UE (transformation)";17;0410000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";257;1070;17.8;4.9;14.5;2.6;8.5;0.81
"PLAT 16 CROUSTI FROM FEFST 4X240G";3366760036831;13366760036838;23366760036835;5375;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'OEUF en poudre, sel, curcuma, émulsifiant : lécithine de colza), EMMENTAL 21.1%, LAIT 1/2 écrémé, CREME (CREME, stabilisant : carraghénanes), NOIX 3.8%, protéine et amidon de BLE (contient SULFITES), fécule de manioc, OEUF entier en poudre, farine de BLE, sel, poivre.";"Gluten - Oeuf - Lait - Sulfites - Fruit à coque
Traces possibles de crustacés, sésame, soja, moutarde, poisson, mollusque";"Oeuf -> UE
Emmental -> UE (transformation)
Lait -> UE (transformation)
Crème -> UE (transformation)
Fromage de chèvre -> UE (transformation)
Gorgonzola -> UE (transformation)
Camembert -> UE (transformation)";17;0410000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI FROM FEFST 4X240G";3366760036831;13366760036838;23366760036835;5375;4;;"Gluten - Oeuf - Lait - Sulfites - Fruit à coque
Traces possibles de crustacés, sésame, soja, moutarde, poisson, mollusque";"Oeuf -> UE
Emmental -> UE (transformation)
Lait -> UE (transformation)
Crème -> UE (transformation)
Fromage de chèvre -> UE (transformation)
Gorgonzola -> UE (transformation)
Camembert -> UE (transformation)";17;0410000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI FROM FEFST 4X240G";3366760036831;13366760036838;23366760036835;5375;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'OEUF en poudre, caramel (sucre, eau, sirop de glucose-fructoses), sel, émuslsifiant : lécithine de colza), oignon, pomme poêlée 12.3% (pommes, sucre, BEURRE), CAMEMBERT 9.9%, CREME (CREME, stabilisant : carraghénanes), eau, fibre de BLE, fécule de manioc, Calvados (Calvados, sel, arôme naturel, poivre), blanc d'OEUF en poudre, poivre.";"Gluten - Oeuf - Lait - Sulfites - Fruit à coque
Traces possibles de crustacés, sésame, soja, moutarde, poisson, mollusque";"Oeuf -> UE
Emmental -> UE (transformation)
Lait -> UE (transformation)
Crème -> UE (transformation)
Fromage de chèvre -> UE (transformation)
Gorgonzola -> UE (transformation)
Camembert -> UE (transformation)";17;0410000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 16 CROUSTI FROM FEFST 4X240G";3366760036831;13366760036838;23366760036835;5375;4;"Galette de BLE 45% (eau, farine de BLE, huile de tournesol, blanc d'OEUF en poudre, graines de pavot 0.9%, sel, émulsifiant : lécithine de colza), poires au sirop 16.5% (poires, eau, sucre, correcteur d'acidité : acide citrique), Gorgonzola 14.3% (contient LAIT), CREME (CREME, stabilisant : carraghénanes), oignon, eau, fécule de manioc, fibre de BLE, blanc d'OEUF en poudre, poivre.";"Gluten - Oeuf - Lait - Sulfites - Fruit à coque
Traces possibles de crustacés, sésame, soja, moutarde, poisson, mollusque";"Oeuf -> UE
Emmental -> UE (transformation)
Lait -> UE (transformation)
Crème -> UE (transformation)
Fromage de chèvre -> UE (transformation)
Gorgonzola -> UE (transformation)
Camembert -> UE (transformation)";17;0410000000;"AU FOUR TRADITIONNEL
Préchauffer votre four à 200°C pendant 10 min.
Mettre les produits dans un plat allant au four et les laisser réchauffer pendant 12 min. Les déguster croustillants.
";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"RDP CRABE CITRON+SCE FECAR 4X200G";3366760030655;33366760030656;43366760030653;5378;4;"Ingrédients : Rouleaux de printemps (2x80g) : Galette 31,3% (tapioca, riz, eau, sel), chair de CRABE 23,5%, eau, carottes (carotte, eau, vinaigre d'alcool, sel), salade, germes de haricot mungo (germes de haricot mungo, eau, sucre, sel, acidifiant : acide tartrique, antioxydants : acide ascorbique, DISULFITE de sodium), vermicelle de pois réhydraté, gingembre, ciboulette, arôme naturel, jus de citron concentré 1%, citronnelle 0.9%, huile de SESAME, amidon transformé de pomme de terre, épaississant : gomme xanthane, sel.
Sauce au soja (2x20g) : eau, sauce SOJA 35% (grains de SOJA, sel, farine de BLE), sucre, citron concentré, épaississants : gomme de guar, gomme xanthane.
Traces possibles de poisson, mollusque, lait, oeuf.";"Soja, blé, sulfites, crustacés, sésame.";"Chair de crabe : Corée du sud, Ecosse
";8;1605100098;"Les rouleaux de printemps se dégustent frais, trempés dans la sauce soja.";103;435;1.4;0.2;19.4;4.6;2.7;1.65
"MOUSSELINE LEG FG TRFST 6X100G";3366760036640;13366760036647;23366760036644;6018;6;"Ingrédients : CRÈME fraîche 35%, eau, pépites de bloc de foie gras de canard 10% (foie gras de canard, eau, Armagnac, sel, sucre, poivre, antioxydant : ascorbate de sodium, conservateur : nitrite de sodium), topinambour 9%, rutabaga 9%, panais 9%, ŒUF entier en poudre, carotte, amidon transformé, flocon de pomme de terre déshydratée, arôme naturel (contient LACTOSE), sel, colorant : bêta-carotène, graine de pavot, épaississant : gomme xanthane, muscade, poivre.";"Lait, œuf.";"Foie gras : UE";11;2005998099;"Micro-ondes : Décoller l'opercule de la coupelle et réchauffer 50 secondes à 600W. 
";217;898;18.0;12.0;9.5;2.3;4.1;1.10
"DOME PDT SAUMON YUZU TRFST 6X130G";3366760036558;13366760036555;23366760036552;6025;6;"Dôme de pomme de terre Anna et son cœur au saumon aneth 100g : 
Ingrédients : Pomme de terre 60% (pomme de terre 52%, antioxydant : acide citrique, BEURRE, farine d’ÉPEAUTRE, sel), SAUMON cuit 19% (SAUMON, sel, acidifiant : acide citrique), CRÈME fraîche, SAUMON fumé 5% (SAUMON fumé, sel), échalote, zeste d’orange, jus de citron, huile d’olive, zeste de citron, sel, pulpe d’ail, aneth 0,2%, arôme naturel, amidon transformé.
";"Lait, Epeautre, Poisson.";"Pomme de terre Anna : Asie.
Saumon : Europe, Amérique du Nord, Amérique du Sud
Yuzu : Asie.";11;1604201030;"Bain-marie (mode de réchauffage recommandé) : Plonger le(s) sachet(s) et la coupelle dans une eau frémissante et réchauffer 6 min. 
Micro-ondes : Percer le(s) sachet(s) et soulever l'opercule de la coupelle sur 2 cm et réchauffer 1min 30 à 850W.

";123;515;5.7;3.3;11.0;1.4;6.5;1.20
"DOME PDT SAUMON YUZU TRFST 6X130G";3366760036558;13366760036555;23366760036552;6025;6;"Jus au Yuzu 30g :
Ingrédients : Eau, jus de Yuzu 6% (jus de cédrat), vin blanc, huile d’olive, sucre, arôme naturel (contient POISSON), pulpe d’ail, sel, oignon en poudre, épaississant : gomme xanthane, curcuma.
";"Lait, Epeautre, Poisson.";"Pomme de terre Anna : Asie.
Saumon : Europe, Amérique du Nord, Amérique du Sud
Yuzu : Asie.";11;1604201030;"Bain-marie (mode de réchauffage recommandé) : Plonger le(s) sachet(s) et la coupelle dans une eau frémissante et réchauffer 6 min. 
Micro-ondes : Percer le(s) sachet(s) et soulever l'opercule de la coupelle sur 2 cm et réchauffer 1min 30 à 850W.

";0;0;0.0;0.0;0.0;0.0;0.0;0.00
